,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),SolarUsed,LoadUsed,Social Welfare (R),Cost Batt Discharge (R),Cost Batt Charge (R)
0,agent1,0,0.0,-1.580957587066223e-13,-0.19,1.8212440856382357e-12,0.0,0.38706235236048786,,,-0.17005224001177313,1.2900000000006253,1.54
1,agent2,0,-0.04999999987040348,-3.945288540307956e-12,-0.41,2.8835691636352373e-10,0.0,0.38397562552207115,,,0.14059170771216467,1.1000000001531898,1.25000000111453
2,agent3,0,0.0,0.0,-0.86,0.0,0.0,0.38550172725646814,,,0.5478495428577265,0.0,0.0
3,agent4,0,-0.019999999814583162,-6.618705583605333e-12,-0.28,5.888872403545653e-10,0.0,0.38241944395371935,,,-0.04336094935175089,1.0900000004968737,1.2000000031520863
4,agent5,0,0.0,0.0,-0.11,0.0,0.0,0.3808954952412629,,,-0.25167043668003697,0.0,0.0
5,agent1,1,0.0,-1.3500311979441904e-13,-0.26,1.0328183498701087e-12,0.0,0.4060343926079628,,,-0.11449212086056268,1.3500000000004557,1.49
6,agent2,1,0.0,-3.3573144264664734e-13,-0.28,1.1908991565288413e-12,0.0,0.40602970307648606,,,-0.09308758610332332,1.3600000000001402,1.4
7,agent3,1,0.0,0.0,-1.12,0.0,0.0,0.4060379793863053,,,0.8057034969623551,0.0,0.0
8,agent4,1,0.0,-1.2612133559741778e-13,-0.26,1.1823438771391208e-12,0.0,0.4060343928583002,,,-0.11449212101947201,1.3100000000003762,1.59
9,agent5,1,0.0,0.0,-0.11,0.0,0.0,0.406031372996007,,,-0.2749891176298982,0.0,0.0
10,agent1,2,0.0,-6.696865284538944e-13,-0.28,3.363463617105391e-10,0.0,0.38009061397011257,,,-0.0670155420331355,1.090000000225981,1.69
11,agent2,2,0.0,-1.326938559031987e-12,-0.11,7.619188429834787e-10,0.0,0.3780232935192436,,,-0.24789027190423418,1.0800000006498711,1.6
12,agent3,2,0.0,0.0,-1.04,0.0,0.0,0.3780218632398564,,,0.747210494174868,0.0,0.0
13,agent4,2,0.0,-3.4638958368304884e-13,-0.35,8.836425924710336e-11,0.0,0.3761187518725173,,,0.009854999699604017,1.1500000000799484,1.71
14,agent5,2,0.0,0.0,-0.11,0.0,0.0,0.37803753261854756,,,-0.24789708317009376,0.0,0.0
15,agent1,3,0.0,-1.2789769243681803e-13,-0.42,6.152406939343647e-13,0.0,0.47004015746904854,,,-0.005194908016129873,1.3600000000001515,1.63
16,agent2,3,0.0,-1.1723955140041653e-13,-0.11,4.156841243929032e-11,0.0,0.4700324649837299,,,-0.33688737438082994,1.1200000000184747,1.72
17,agent3,3,0.0,0.0,-1.08,0.0,0.0,0.47002340588046576,,,0.7010215768035335,0.0,0.0
18,agent4,3,0.0,-1.2612133559741778e-13,-0.63,6.040653626150852e-13,0.0,0.47002843622666163,,,0.21951643081549654,1.3600000000001444,1.47
19,agent5,3,0.0,0.0,-0.11,0.0,0.0,0.4700328170585415,,,-0.33688752514915965,0.0,0.0
20,agent1,4,0.0,-6.696865284538944e-13,-0.35,3.445576021197334e-12,0.04,0.34793193749894713,,,0.03800100365765857,1.3000000000007714,1.38
21,agent2,4,0.0,-2.7355895326763857e-13,-0.12,3.398632314123073e-12,0.04,0.3495914843238232,,,-0.2091719847356548,1.270000000001236,1.42
22,agent3,4,0.0,0.0,-1.02,0.0,0.0,0.3478323786598631,,,0.7549484650933618,0.0,0.0
23,agent4,4,0.0,-2.4158453015843406e-13,-0.26,6.852580962423141e-12,0.04,0.3464306004260861,,,-0.05733046842554354,1.2300000000031628,1.57
24,agent5,4,0.0,0.0,-0.11,0.0,0.0,0.34794135078760613,,,-0.21880876344841854,0.0,0.0
25,agent1,5,0.0,-2.1671553440683056e-13,-0.25,3.003317539446623e-12,0.36,0.3688436453003014,,,-0.09021480922792466,1.2800000000013347,1.69
26,agent2,5,0.0,-1.1528555887707626e-12,-0.86,5.689648397137472e-10,0.36,0.3688420391383281,,,0.562486751188978,1.090000000507693,1.65
27,agent3,5,0.0,0.0,-1.44,0.0,0.0,0.3750650394400762,,,1.1790510823110023,0.0,0.0
28,agent4,5,0.0,-1.6342482922482304e-13,-0.28,1.5195435394542138e-11,0.36,0.37195461818320674,,,-0.06013226651155529,1.1900000000088835,1.64
29,agent5,5,0.0,0.0,-0.11,0.0,0.0,0.3750673826977352,,,-0.24405118423297456,0.0,0.0
30,agent1,6,0.0,-8.543565854779445e-11,-2.62,8.310826685001981e-09,0.71,1.5937562956540388,,,1.2619178306529826,1.1800000042813223,1.7
31,agent2,6,0.0,-4.517630713962717e-11,-1.17,4.805885980289444e-09,0.71,1.593775068994776,,,-0.28960031994380764,1.24000000347504,1.58
32,agent3,6,0.0,0.0,-2.02,0.0,0.0,1.5943688136041967,,,0.6195672827171013,0.0,0.0
33,agent4,6,0.0,-4.0954439839424595e-10,-3.73,1.9902126884935529e-07,0.71,1.5937717024399696,,,2.449602716989893,1.1100001295210518,1.55
34,agent5,6,0.0,0.0,-0.56,0.0,0.0,1.5943531875876098,,,-0.9426176053655595,0.0,0.0
35,agent1,7,0.0,-1.672972871347156e-11,-1.21,0.5974283082973846,1.03,1.3793026172261127,,,-1.6889557628941005,1.5541199304578854,1.54
36,agent2,7,0.0,-1.9330670397721406e-10,-4.44,0.6399999949497308,1.03,1.386809967090432,,,1.808059717289173,1.3799999976326864,1.42
37,agent3,7,0.0,0.0,-1.17,0.0,0.0,1.3894434928787287,,,-0.9075397822134745,0.0,0.0
38,agent4,7,0.0,-8.261835660050565e-12,-3.34,0.5957613451152372,1.03,1.3820180207309238,,,0.6174402878206044,1.554119960247534,1.62
39,agent5,7,0.0,0.0,-1.69,0.0,0.0,1.3892934916542419,,,-0.3509455157868393,0.0,0.0
40,agent1,8,-0.09274242935255728,-5.000444502911705e-12,-1.11,0.09570509568555739,1.31,0.7191035659057118,,,0.08661057399022654,1.5541198324934555,1.5541199991523247
41,agent2,8,-0.1128478170009165,-6.529887741635321e-12,-3.7,0.04535999463188224,1.31,0.7130353589716001,,,2.9646708601626597,1.55411997584347,1.5541199993704136
42,agent3,8,0.0,0.0,-2.29,0.0,0.0,0.7596595788160069,,,1.2692295871569237,0.0,0.0
43,agent4,8,-1.488803491600521e-08,-1.794120407794253e-13,-0.39,0.07208253968150825,1.31,0.709986173492696,,,-0.7810777191135878,1.554119999993502,1.5499999922993128
44,agent5,8,0.0,0.0,-0.11,0.0,0.0,0.7606252416418037,,,-1.064327168819901,0.0,0.0
45,agent1,9,-0.20500293216399362,-9.254819133275305e-13,-0.21,0.10999999999228965,1.51,0.4727909306876015,,,-0.32679920723777656,1.3799994999957945,1.5541199995340214
46,agent2,9,-0.14744888947077367,-2.4087398742267396e-12,-1.43,0.11999999999595988,1.51,0.4832691059150207,,,0.8541886982007375,1.4100003999983166,1.5541199993453796
47,agent3,9,0.0,0.0,-1.97,0.0,0.0,0.4988424806001322,,,1.3326082199898512,0.0,0.0
48,agent4,9,-2.8808511132183412e-11,-2.6716406864579767e-12,-2.07,0.03643032506889739,1.51,0.49210905548647904,,,1.3980595464904852,1.554119856749506,1.4099999999945125
49,agent5,9,0.0,0.0,-1.21,0.0,0.0,0.49903467113161654,,,0.5191750978185199,0.0,0.0
50,agent1,10,-0.48999999988337106,-0.6225531141919056,-0.21,1.2249949266418326e-10,1.6,9.382509935071902e-11,,,0.9498995537050386,1.1900000001633322,1.249997800109489
51,agent2,10,-0.5399999999962339,-0.09894757622421935,-1.19,4.486426590558665e-12,1.6,3.3199547450404473e-12,,,2.0617005784521285,1.15000000000987,1.3700018000012553
52,agent3,10,0.0,0.0,-0.13,0.0,0.0,3.79565188558644e-11,,,0.13909999374500032,0.0,0.0
53,agent4,10,-0.6299999999998077,-0.16254453287108106,-0.53,0.0,1.6,1.435175786423004e-13,,,1.39869940000485,1.58,1.1599978000000977
54,agent5,10,0.0,0.0,-0.18,0.0,0.0,3.795629775887097e-11,,,0.19259998387399938,0.0,0.0
55,agent1,11,-0.009999999999956422,-1.0172868957047072,-0.4,4.9142054402374675e-14,1.59,4.7183453862503895e-14,,,0.44240000680517094,1.1800000000000248,1.3300000000009589
56,agent2,11,-0.009999999981718936,-1.177851351527707,-0.24,1.8283841114623608e-11,1.59,2.0237961799425477e-11,,,0.27115000735674705,1.3400000000077568,1.3000000004935888
57,agent3,11,0.0,0.0,-0.16,0.0,0.0,3.779694341571912e-11,,,0.17119988476468462,0.0,0.0
58,agent4,11,-0.06999999999992479,-0.6972867017043587,-0.66,9.29935180563406e-14,1.59,8.321608149645427e-14,,,0.8136500068036961,1.1000000000000474,1.360000000000376
59,agent5,11,0.0,0.0,-0.32,0.0,0.0,3.779461459967903e-11,,,0.34239989072794674,0.0,0.0
60,agent1,12,-0.009997847921181496,-1.2654410852519504e-10,-0.4,0.23879999750825603,1.46,0.09966973999653767,,,0.039037333821446474,1.2293999987541282,1.240051649891644
61,agent2,12,0.0,-2.042810365310288e-13,-2.03,0.23225760099194137,1.46,0.10615905314435045,,,1.7714913362394635,1.2293999998166503,1.62
62,agent3,12,0.0,0.0,-0.14,0.0,0.0,0.1342500072766763,,,-0.01522271624759558,0.0,0.0
63,agent4,12,0.0,-2.62492250158175e-11,-2.77,2.1999019187903142e-09,1.46,0.13425002491412202,,,2.7988767220528925,1.3400000008249633,1.53
64,agent5,12,0.0,0.0,-0.11,0.0,0.0,0.13437500659592272,,,-0.04741731864016323,0.0,0.0
