,Time Period,Total Social Welfare (R/kwh)
0,0,0.22335762452633018
1,1,0.20864255134909881
2,2,0.1942625967670085
3,3,0.24156820007291058
4,4,0.30763825214140345
5,5,1.3471395735275258
6,6,3.098869905050609
7,7,-0.5219410557846369
8,8,2.475106133376322
9,9,3.777232355261817
10,10,4.741999509781017
11,11,2.0407997964582454
12,12,4.546765357226044
13,13,2.8890100847079134
14,14,1.9554882002968716
15,15,1.441316702846441
16,16,0.4493901708251947
17,17,-0.15569184261533645
18,18,-3.9587677352716324
19,19,-0.8033206129073218
20,20,-1.08247011071014
21,21,-0.10679237065555325
22,22,-1.2801340255669196
23,23,-0.24769371964426587
