,Time Period,Avg Price (c/kwh)
0,0,96.71399929630405
1,1,96.7136531874933
2,2,96.7138792436402
3,3,96.7139989311597
4,4,96.71397880009721
5,5,96.71387812215956
6,6,96.71399920852515
7,7,155.4121603334624
8,8,155.41197030937212
9,9,155.41210291263477
10,10,155.41183322057952
11,11,122.94008264511389
12,12,122.940110215893
13,13,122.94173123731377
14,14,122.93990177386152
15,15,122.94004519054499
16,16,122.93970075744002
17,17,122.9400930544638
18,18,155.41195025002088
19,19,155.41199230964708
20,20,155.4119605742271
21,21,122.9399544357688
22,22,122.94010271761395
23,23,122.94033494961836
