,Time Period,Total Social Welfare (R/kwh)
0,0,0.4800884894310985
1,1,0.053350203441779084
2,2,0.036320918676341546
3,3,0.05840273652744549
4,4,0.0817595184149989
5,5,0.10728184409888758
6,6,0.9388119734009837
7,7,-18.17377601106625
8,8,-11.303835421635979
9,9,-10.459925319901547
10,10,-4.15452181875828
11,11,2.16212755900579
12,12,-0.12228410920306487
13,13,0.5303355452501148
14,14,-4.592303931172706
15,15,-2.3272812426110523
16,16,-0.5889030153075989
17,17,-1.038936948182215
18,18,-14.58169835985928
19,19,-16.163576799373224
20,20,-14.907156535827683
21,21,-2.3848198731453616
22,22,-0.9452229780646706
23,23,-0.37268981892654063
