,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),SolarUsed,LoadUsed,Social Welfare (R),Cost Batt Discharge (R),Cost Batt Charge (R)
0,agent1,0,-0.38999994328900744,-1.5987211554602254e-11,-0.31,6.192156119594399e-11,0.0,0.3969476312142211,,,0.42935751531082444,1.3500000000091739,1.090001662527272
1,agent2,0,-0.2899999996093965,-9.112710586123285e-13,-0.13,7.791830560836846e-12,0.0,0.4026304861682821,,,0.13564598493583474,1.3200000000021646,1.1899991006195791
2,agent3,0,0.0,0.0,-0.1,0.0,0.0,0.4000617441693772,,,-0.30645176511964795,0.0,0.0
3,agent4,0,-0.3299999981501495,-3.913314117198752e-12,-0.34,2.713051045376831e-09,0.0,0.4014781657171527,,,0.38992550483131255,1.1300000036705953,1.1300014022982912
4,agent5,0,0.0,0.0,-0.11,0.0,0.0,0.39843987722973745,,,-0.2946181710192456,0.0,0.0
5,agent1,1,-0.029999925358126824,-3.7276848274814256e-11,-0.24,1.2185417382747193e-10,0.0,0.18643392830550978,,,0.10218517040462471,1.3600000000571193,1.1000010205828537
6,agent2,1,-0.019999999869914287,-5.142553050063725e-12,-0.13,6.345707505655103e-11,0.0,0.1895381126738655,,,-0.02593957827920662,1.3100000000340961,1.3300000024065857
7,agent3,1,0.0,0.0,-0.1,0.0,0.0,0.18804090757738828,,,-0.08728304181991553,0.0,0.0
8,agent4,1,-0.019999999666514973,-6.034284183442651e-12,-0.29,8.922633251640967e-11,0.0,0.1879361517530199,,,0.14517343074658873,1.2300000000256865,1.260000006502958
9,agent5,1,0.0,0.0,-0.11,0.0,0.0,0.18793817318237555,,,-0.07652854348153161,0.0,0.0
10,agent1,2,0.0,-2.2524204723595176e-12,-0.3,2.6870026703149515e-11,0.0,0.18595336158221454,,,0.1288226883597764,1.3200000000108285,1.41
11,agent2,2,0.0,-8.01136934569513e-12,-0.13,1.942947335049276e-08,0.0,0.18278456358878095,,,-0.05086173729629698,1.1000000151435259,1.68
12,agent3,2,0.0,0.0,-0.1,0.0,0.0,0.1859534347927124,,,-0.0851773161257418,0.0,0.0
13,agent4,2,0.0,-7.73603403558809e-12,-0.29,1.8570602584556072e-08,0.0,0.18751347450564482,,,0.11702707345707242,1.1000000142644513,1.53
14,agent5,2,0.0,0.0,-0.11,0.0,0.0,0.18755812311012632,,,-0.07559312202530606,0.0,0.0
15,agent1,3,0.0,-1.4207302001523203e-11,-0.25,4.242549325506094e-08,0.0,0.2500528325021982,,,0.00907770187825968,1.0900000367264768,1.46
16,agent2,3,0.0,-1.1311840353300795e-11,-0.45,3.9014288696796533e-08,0.0,0.2500539837376061,,,0.22307651772460924,1.080000023164734,1.65
17,agent3,3,0.0,0.0,-0.1,0.0,0.0,0.25005268084887533,,,-0.15142194879252024,0.0,0.0
18,agent4,3,0.0,-1.2292389328649733e-12,-0.34,2.7400703425323674e-10,0.0,0.2500556475227188,,,0.10537487280827529,1.1900000002200357,1.58
19,agent5,3,0.0,0.0,-0.11,0.0,0.0,0.2500542433421356,,,-0.14072356358408744,0.0,0.0
20,agent1,4,-0.009999999927391126,-2.3732127374387346e-11,-0.37,1.4598839810740718e-10,0.0,0.46406232716646756,,,-0.06969301810215972,1.2600000000811054,1.3500000006534798
21,agent2,4,0.0,-4.019717891878827e-11,-0.38,1.9093014350798505e-09,0.0,0.4640627222110497,,,-0.07294317686352281,1.3100000005984325,1.38
22,agent3,4,0.0,0.0,-0.44,0.0,0.0,0.46406711017027324,,,-0.008747784832987882,0.0,0.0
23,agent4,4,0.0,-6.620126669076853e-11,-1.01,2.0006407458073586e-08,0.0,0.46152437097718074,,,0.6029274713146029,1.2200000100032038,1.57
24,agent5,4,0.0,0.0,-0.11,0.0,0.0,0.46649054518771527,,,-0.36355137164678514,0.0,0.0
25,agent1,5,0.0,-2.255973186038318e-13,-0.42,1.2687133901312532e-10,0.0,0.46713298967455225,,,-0.03298100589400249,1.1900000000956419,1.71
26,agent2,5,0.0,-4.440892098500626e-14,-0.26,5.19940352807809e-12,0.0,0.4661820811169842,,,-0.20348184288155152,1.2900000000030059,1.64
27,agent3,5,0.0,0.0,-0.6,0.0,0.0,0.4671402281125476,,,0.15961187190031345,0.0,0.0
28,agent4,5,0.0,-1.2434497875801753e-13,-0.94,1.7929942662813403e-12,0.0,0.4661811294412482,,,0.5241181664946652,1.320000000000343,1.41
29,agent5,5,0.0,0.0,-0.11,0.0,0.0,0.46365139685374984,,,-0.36221922109774907,0.0,0.0
30,agent1,6,0.0,-7.300826609935029e-13,-3.21,5.891414524524308e-10,0.26,1.6565936343890182,,,1.7221692359431433,1.1600000004730981,1.67
31,agent2,6,0.0,-4.5142556359678565e-11,-2.39,1.0236653723680767e-07,0.26,1.656593423508377,,,0.8447692804501288,1.0900000847717768,1.72
32,agent3,6,0.0,0.0,-2.36,0.0,0.0,1.6594929696510805,,,0.8106801900317331,0.0,0.0
33,agent4,6,0.0,-1.6910917111090384e-12,-0.52,1.0447976753557257e-09,0.26,1.6580155510311267,,,-1.157109443665665,1.130000000473429,1.67
34,agent5,6,0.0,0.0,-0.59,0.0,0.0,1.659459407331036,,,-1.0831847046815817,0.0,0.0
