,Time Period,Avg Price (c/kwh)
0,0,103.34699934813763
1,1,103.34784679134796
2,2,103.34691668423919
3,3,103.34699987069318
4,4,103.34695881741433
5,5,103.34699942258581
6,6,103.34699903744331
7,7,357.54315773984627
8,8,357.5429985542894
9,9,357.5430792084416
10,10,357.5429975438734
11,11,140.2063640520881
12,12,146.46592002110378
13,13,146.4661322122612
14,14,146.465967965923
15,15,146.466012282222
16,16,146.46598950917092
17,17,146.46612038506242
18,18,357.5430954205075
19,19,357.5429889446198
20,20,357.54303776826526
21,21,146.46597100028185
22,22,146.4660963288418
23,23,146.466003916565
